Player,Team,Age,Height,Weight,GP,MIN,STL,BLK,Deflections
Aaron Gordon,DEN,25,80,235,50,1384,33,34,51
Aaron Holiday,IND,24,72,185,66,1176,46,13,97
Aaron Nesmith,BOS,21,77,215,46,669,15,9,24
Abdel Nader,PHX,27,77,225,24,355,10,9,18
Adam Mokoka,CHI,22,76,190,14,56,2,1,4
Al Horford,BOS,35,81,240,28,782,25,26,33
Al-Farouq Aminu,CHI,30,80,220,23,434,19,9,33
Alec Burks,NYK,29,78,214,49,1255,31,14,70
Aleksej Pokusevski,OKC,19,84,190,45,1090,20,42,36
Alen Smailagic,GSW,20,82,215,15,84,3,5,7
Alex Caruso,LAL,27,76,186,58,1216,64,15,129
Alex Len,WAS,28,84,250,64,979,20,64,58
Alfonzo McKinnie,LAL,28,79,215,39,258,7,0,9
Alize Johnson,BKN,25,79,212,18,189,5,5,3
Amida Brimah,IND,27,82,230,5,29,0,5,0
Amir Coffey,LAC,24,79,210,44,395,10,0,17
Anderson Varejao,CLE,38,83,260,5,36,0,2,1
Andre Drummond,LAL,27,82,279,46,1242,63,49,130
Andre Iguodala,MIA,37,78,215,63,1339,57,35,103
Andre Roberson,BKN,29,79,210,5,63,3,1,5
Andrew Wiggins,GSW,26,79,197,71,2364,67,70,99
Anfernee Simons,POR,22,75,181,64,1104,18,8,39
Anthony Davis,LAL,28,82,253,36,1162,45,59,89
Anthony Edwards,MIN,19,76,225,72,2314,82,36,132
Anthony Gill,WAS,28,79,230,26,218,10,4,7
Anthony Lamb,HOU,23,78,227,24,415,6,5,11
Anthony Tolliver,PHI,36,80,240,11,99,3,2,2
Anzejs Pasecniks,WAS,25,85,229,1,6,0,0,1
Aron Baynes,TOR,34,82,260,53,980,17,22,27
Ashton Hagans,MIN,21,75,190,2,4,0,0,0
Austin Rivers,DEN,28,76,200,36,845,30,2,46
Avery Bradley,HOU,30,75,180,27,602,21,3,39
Axel Toupane,MIL,28,79,210,8,61,2,3,17
Bam Adebayo,MIA,23,81,255,64,2143,75,66,144
Ben McLemore,LAL,28,75,195,53,905,23,9,43
Ben Simmons,PHI,24,83,240,58,1877,93,35,202
Bismack Biyombo,CHA,28,80,255,66,1349,17,74,44
Blake Griffin,BKN,32,81,250,46,1187,32,15,54
Boban Marjanovic,DAL,32,88,290,33,271,2,6,10
Bobby Portis,MIL,26,82,250,66,1372,52,26,104
Bogdan Bogdanovic,ATL,28,78,220,44,1305,49,13,93
Bojan Bogdanovic,UTA,32,79,226,72,2216,45,4,56
Bol Bol,DEN,21,86,220,32,160,3,10,4
Brad Wanamaker,CHA,31,75,210,61,1053,43,11,93
Bradley Beal,WAS,28,75,207,60,2147,69,22,122
Brandon Clarke,MEM,24,80,215,59,1415,60,51,92
Brandon Goodwin,ATL,25,72,180,47,620,17,0,25
Brandon Ingram,NOP,23,80,190,61,2092,42,36,80
Brian Bowen II,IND,22,78,190,6,15,0,0,0
Brodric Thomas,CLE,24,77,185,32,399,15,10,30
Brook Lopez,MIL,33,84,282,70,1902,40,103,76
Bruce Brown,BKN,24,76,202,65,1451,58,28,115
Bruno Caboclo,HOU,25,81,218,6,36,0,2,1
Bruno Fernando,ATL,22,81,240,33,226,4,3,9
Bryn Forbes,MIL,27,74,205,70,1354,24,1,39
Buddy Hield,SAC,28,76,220,71,2433,63,30,121
CJ Elleby,POR,21,78,200,30,192,6,3,12
CJ McCollum,POR,29,75,190,47,1600,44,21,59
Caleb Martin,CHA,25,77,205,53,818,37,12,61
Cam Reddish,ATL,21,80,218,26,750,33,9,67
Cameron Johnson,PHX,25,80,210,60,1437,37,16,65
Cameron Oliver,HOU,24,80,225,4,87,2,4,3
Cameron Payne,PHX,26,73,183,60,1079,36,16,78
Cameron Reynolds,HOU,26,79,225,5,40,0,0,1
Caris LeVert,IND,26,78,205,47,1485,66,30,107
Carmelo Anthony,POR,37,79,238,69,1690,46,38,69
Carsen Edwards,BOS,23,71,200,31,276,7,1,12
Cassius Stanley,IND,21,77,190,24,93,1,2,4
Cassius Winston,WAS,23,73,185,22,98,2,1,5
Cedi Osman,CLE,26,79,230,59,1511,53,9,74
Chandler Hutchison,WAS,25,78,210,25,346,12,5,23
Charlie Brown Jr.,OKC,24,78,199,9,152,4,2,13
Chimezie Metu,SAC,24,81,225,36,488,14,18,35
Chris Boucher,TOR,28,81,200,60,1453,35,111,64
Chris Chiozza,BKN,25,71,175,22,232,7,6,12
Chris Paul,PHX,36,72,175,70,2200,99,19,175
Chris Silva,SAC,24,80,234,15,92,1,6,5
Christian Wood,HOU,25,82,214,41,1326,34,48,49
Chuma Okeke,ORL,22,78,229,45,1133,48,22,99
Clint Capela,ATL,27,82,240,63,1898,44,129,90
Coby White,CHI,21,77,195,69,2156,38,15,74
Cody Martin,CHA,25,77,205,52,849,37,12,76
Cody Zeller,CHA,28,83,240,48,1005,27,17,69
Cole Anthony,ORL,21,74,185,47,1273,30,18,56
Collin Sexton,CLE,22,73,190,60,2115,62,10,107
Cory Joseph,DET,29,75,200,63,1446,61,18,86
Cristiano Felicio,CHI,28,83,270,18,84,4,0,5
D'Angelo Russell,MIN,25,76,193,42,1196,45,18,77
D.J. Augustin,HOU,33,71,183,57,1129,28,1,36
D.J. Wilson,HOU,25,82,231,35,433,11,16,26
DaQuan Jeffries,SAS,23,77,230,31,493,15,10,33
Damian Jones,SAC,26,83,245,39,546,11,29,27
Damian Lillard,POR,30,74,195,67,2398,62,17,113
Damion Lee,GSW,28,77,210,57,1079,38,8,61
Damyean Dotson,CLE,27,77,210,46,907,16,4,27
Daniel Gafford,WAS,22,82,234,54,791,26,75,53
Daniel Oturu,LAC,21,80,240,30,161,4,7,9
Daniel Theis,CHI,29,80,245,65,1601,41,57,100
Danilo Gallinari,ATL,32,82,233,51,1222,30,10,63
Danny Green,PHI,34,78,215,69,1934,92,56,173
Dante Exum,HOU,25,77,214,6,116,4,2,6
Danuel House Jr.,HOU,28,78,220,36,932,20,16,45
Dario Saric,PHX,27,82,225,50,870,30,4,56
Darius Bazley,OKC,21,80,208,55,1714,29,25,44
Darius Garland,CLE,21,73,192,54,1790,66,6,103
Darius Miller,OKC,31,78,225,18,197,13,5,23
David Nwaba,HOU,28,77,219,30,679,30,21,54
Davis Bertans,WAS,28,82,225,57,1464,33,13,75
De'Aaron Fox,SAC,23,75,185,58,2036,87,27,161
De'Andre Hunter,ATL,23,80,225,23,678,19,12,27
De'Anthony Melton,MEM,23,74,200,52,1045,60,31,129
DeAndre Jordan,BKN,32,83,265,57,1246,17,65,48
DeAndre' Bembry,TOR,26,77,210,51,972,53,18,82
DeMar DeRozan,SAS,31,78,220,61,2056,56,15,98
DeMarcus Cousins,LAC,30,82,270,41,713,34,24,64
Dean Wade,CLE,24,81,228,63,1212,35,21,64
Deandre Ayton,PHX,22,83,250,69,2115,41,81,73
Deividas Sirvydis,DET,21,80,190,20,133,2,0,10
Dejounte Murray,SAS,24,76,180,67,2139,101,7,193
Delon Wright,SAC,29,77,185,63,1748,101,30,186
Deni Avdija,WAS,20,81,210,54,1257,32,15,68
Dennis Schroder,LAL,27,75,172,61,1956,70,13,111
Dennis Smith Jr.,DET,23,74,205,23,420,23,14,52
Denzel Valentine,CHI,27,76,220,62,1036,30,7,48
Derrick Favors,UTA,29,81,265,68,1039,32,68,55
Derrick Jones Jr.,POR,24,77,210,58,1318,37,54,86
Derrick Rose,NYK,32,74,200,50,1279,49,19,73
Derrick White,SAS,26,76,190,36,1064,26,36,70
Desmond Bane,MEM,23,77,215,68,1519,41,16,88
Devin Booker,PHX,24,77,206,67,2270,53,16,74
Devin Vassell,SAS,20,77,200,62,1056,43,18,82
Devon Dotson,CHI,21,74,185,11,50,4,0,8
Devontae Cacok,LAL,24,79,240,20,98,5,4,10
Devonte' Graham,CHA,26,73,195,55,1659,48,6,100
Dewayne Dedmon,MIA,31,84,245,16,210,9,6,14
Didi Louzada,NOP,21,77,188,3,56,2,0,3
Dillon Brooks,MEM,25,79,225,67,1997,78,26,185
Domantas Sabonis,IND,25,83,240,62,2231,76,33,140
Donovan Mitchell,UTA,24,73,215,53,1771,52,15,93
Donta Hall,ORL,23,82,230,13,179,5,10,9
Donte DiVincenzo,MIL,24,76,203,66,1815,72,15,143
